shift,nps,strategy,safety,plasticity,stability,throughput,disturb_input,disturb_hidden_1,disturb_hidden_2,disturb_output,buffer_suggested,buffer_factor
0.0852,0.1878,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.8616,0.2761,0.0438,100,1.0
0.2196,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.6995,0.1228,High-Speed Parallel,low,0.9,0.25,0.95,0.7085,0.3217,0.2359,0.0038,100,1.0
0.5491,0.9592,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.7012,0.5219,0.8818,1.0,177,1.78
1.217,0.3997,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.6885,0.475,0.4066,0.2056,100,1.0
0.6172,0.1519,High-Speed Parallel,low,0.9,0.25,0.95,0.9957,0.8711,0.2635,0.0285,100,1.0
0.518,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.3534,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9497,1.0,1.0,1.0,190,1.9
1.0171,0.2176,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.7444,0.2659,0.0806,100,1.0
1.34,0.3232,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.8447,0.758,0.315,0.0912,100,1.0
0.2581,0.0395,High-Speed Parallel,low,0.9,0.25,0.95,0.5431,0.5125,0.0559,0.0045,100,1.0
1.7328,0.4074,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.9624,0.7927,0.2929,0.0536,100,1.0
1.2241,0.0574,High-Speed Parallel,low,0.9,0.25,0.95,0.8057,0.2625,0.0312,0.0039,100,1.0
1.1573,0.0428,High-Speed Parallel,low,0.9,0.25,0.95,0.9639,0.6477,0.0834,0.0028,100,1.0
1.794,0.1014,High-Speed Parallel,low,0.9,0.25,0.95,0.8832,0.5579,0.138,0.0319,100,1.0
1.7101,0.3978,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,1.0,0.6936,0.0759,100,1.0
0.5872,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.7899,0.3374,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.6792,0.4204,0.0308,100,1.0
0.1021,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.6221,0.9276,1.0,1.0,190,1.9
0.2353,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,0.7703,190,1.9
0.2129,0.2822,High-Speed Parallel,low,0.9,0.25,0.95,0.7807,0.8465,0.3939,0.0333,100,1.0
0.1162,0.2008,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.9154,0.7361,0.0247,100,1.0
0.831,0.5537,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.865,0.2117,0.0786,100,1.0
0.6006,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.153,0.0317,High-Speed Parallel,low,0.9,0.25,0.95,0.895,0.5379,0.0406,0.0026,100,1.0
0.6866,0.1382,High-Speed Parallel,low,0.9,0.25,0.95,1.0,1.0,0.5091,0.0755,100,1.0
1.3521,0.0735,High-Speed Parallel,low,0.9,0.25,0.95,0.6549,0.3308,0.0898,0.0143,100,1.0
0.6658,0.4857,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.8317,0.6439,0.7119,0.1878,100,1.0
1.7032,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9123,0.6575,1.0,190,1.9
1.7711,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.2595,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
